T,RH,WS,PET,PMV,PPD,SET,RWS,CE,Height,PETH,PMVH
34.03,70.21,6.58,36.1,2.24,86,36.1,4.9,13,54,44.1,1.91
33.2,73.57,6.46,35.1,2.15,83,35.9,4.9,13.1,60,44,1.9
32.54,76.66,6.1,34.3,2.05,79,35.7,4.9,13.2,66,43.8,1.87
31.86,80.18,5.76,33.5,1.96,75,35.5,4.9,13.2,72,43.7,1.85
31.17,83.06,6.18,32.5,1.85,70,35.3,4.9,13.2,78,43.6,1.83
30.86,84.3,5.31,32.3,1.78,66,35.2,4.85,13.3,84,43.4,1.82
30.62,85.42,5.25,32,1.78,66,35.2,4.85,13.1,90,43.3,1.81
30.48,86.31,5.55,31.7,1.73,63,35.1,4.75,13.1,96,43.2,1.8
30.29,87.29,6.43,31.4,1.69,61,35,4.75,13.1,102,43,1.79
30.08,88.08,6.14,31.1,1.69,61,35,4.56,13.1,0,45.1,2.14
29.5,89.92,7.05,30.2,1.63,58,34.9,4.38,13.1,6,44.9,2.1
29.32,90.37,6.99,30,1.39,45,34.8,4.17,14.2,12,44.7,2.06
29.34,89.55,7.38,29.9,1.61,60,35.2,4.14,12.6,18,44.5,2.02
29.17,89.76,7.54,29.7,1.26,38,34.5,4.22,14.4,24,44.4,1.97
29.14,89.51,7.91,29.6,1.26,38,34.5,4.18,14.4,30,44.3,1.95
29.43,90.63,9.25,29.9,1.72,63,35.3,3.43,12.5,36,44,1.94
30.73,84.62,7.66,31.8,1.95,74,35.8,3.55,12.2,42,43.9,1.93
32.59,75.7,5.91,34.4,2.09,80,36,3.78,12.4,48,43.7,1.92
34.72,66.43,5.71,37.1,2.37,90,36.7,3.86,11.8,54,43.6,1.91
36.89,58.4,6.35,39.6,2.39,91,36.5,3.83,12.4,60,43.5,1.9
38.61,52.92,6.74,41.7,2.54,94,36.8,3.84,12.4,66,43.4,1.87
39.77,51.33,7.08,43.2,2.58,95,36.8,4.16,12.6,72,43.3,1.85
40.44,50.85,8.23,44,2.78,98,37.2,3.9,12.4,78,43.1,1.83
40.79,49.98,8.83,44.4,2.76,97,37.1,4.09,12.5,84,43,1.82
40.82,50.13,9.68,44.4,2.65,96,36.9,4.22,12.7,90,42.9,1.81
40.51,51.69,9.31,44.1,2.48,93,36.5,4.12,12.9,96,42.8,1.8
39.78,55.26,9.14,43.3,2.35,90,36.3,4.07,12.9,102,42.7,1.79
37.96,60.08,9.24,41,2.27,87,36.2,4,12.7,0,49.2,2.7
35.68,66.63,9.02,38.1,2.09,81,35.9,4.09,12.8,6,49,2.65
34.2,71.29,9.14,36.1,1.98,76,35.6,4.13,12.8,12,48.7,2.61
33.2,74.82,8.91,34.8,1.9,72,35.5,4.16,12.8,18,48.5,2.57
32.33,79.16,8.51,33.8,1.84,69,35.4,4.06,12.8,24,48.4,2.53
31.96,81,9.31,33.2,1.81,68,35.4,4.08,12.7,30,48.2,2.44
31.45,83.2,9.78,32.5,1.75,65,35.3,4.06,12.7,36,47.9,2.42
30.06,87.1,10.07,30.6,1.88,71,35.8,3.09,12,42,47.7,2.39
29.66,89.19,11.23,30,1.74,64,35.3,3.73,12.6,48,47.6,2.38
29.49,90.22,11.24,29.8,1.71,62,35.2,3.73,12.6,54,47.5,2.36
29.37,90.94,10.27,29.7,1.71,62,35.2,3.65,12.5,60,47.3,2.34
29.43,90.63,9.61,29.9,1.7,62,35.2,3.62,12.5,66,47.2,2.33
29.36,90.21,8.25,29.9,0.99,26,33.7,3.26,14.9,72,47,2.31
30.25,86.17,8.69,31,1.17,34,34.1,3.34,14.8,78,46.9,2.28
31.82,78.07,8.84,33,1.4,46,34.6,3.5,14.8,84,46.8,2.26
34.01,68.8,9.26,35.7,1.87,71,35.2,3.44,13.6,90,46.6,2.01
35.97,61.9,10.29,38.1,2.13,82,35.7,3.45,13.4,96,46.5,1.99
37.53,58.02,11.27,40.1,2.32,89,36.1,3.57,13.2,102,46.3,1.98
38.81,55.51,11.69,41.8,2.45,92,36.3,3.61,13.2,0,47.6,2.7
40.43,50.7,11.32,43.8,2.6,95,36.5,3.83,13.3,6,47.4,2.65
40.75,49.73,11.69,44.2,2.63,96,36.6,3.82,13.4,12,47.2,2.61
40.83,50.16,12.59,44.3,2.64,96,36.6,3.79,13.4,18,47.1,2.57
40.54,52.85,11.81,44.1,2.56,95,36.4,3.65,13.6,24,46.9,2.53
39.6,56.85,11.12,43,2.56,95,36.5,3.49,13.2,30,46.8,2.44
37.88,62.41,11.18,40.9,2.14,91,36.3,3.45,13,36,46.5,2.42
35.98,68.57,11.41,38.4,2.14,83,35.7,3.52,13.3,42,46.3,2.39
33.43,78.47,10.71,35.2,1.67,60,35.2,2.57,14.8,48,46.2,2.38
32.09,83.61,10.15,33.5,1.51,52,34.8,3.56,14.9,54,46.1,2.36
31.41,85.4,9.87,32.6,1.42,47,34.6,3.6,14.9,60,46,2.34
31.08,85.3,9.62,32.1,1.31,41,34.4,3.63,15,66,45.8,2.33
30.83,86.5,9.04,31.8,1.25,38,34.2,3.6,15,72,45.7,2.31
30.54,86.45,6.95,31.6,1.21,36,34.2,3.35,15,78,45.6,2.28
30.22,87.46,6.75,31.2,1.18,34,34.1,3.35,14.8,84,45.4,2.26
29.78,89.53,6.82,30.6,1.13,32,34,3.29,14.8,90,45.3,2.01
29.48,90.41,7.28,30.2,1.07,29,33.9,3.27,14.8,96,45.2,1.99
29.32,90.54,7.77,29.9,1.01,26,33.7,3.29,14.9,102,45.1,1.98
27.08,91.02,4.42,27.2,0.9,22,33.9,2.24,14.1,0,45.2,2.4
28.44,86.08,2.72,29.6,1.14,32,34.5,2.27,13.8,6,45.8,2.45
29.94,78.83,3.5,31.3,1.23,37,34.5,2.45,14.2,12,46.2,2.5
31.54,72.73,3.72,33.3,1.4,46,34.9,2.53,14.2,18,46.8,2.55
33,67.04,3.23,35.3,1.9,72,35.5,2.52,12.7,24,47.2,2.6
34.31,63.67,3.42,36.9,2.17,84,36.2,2.42,12.1,30,47.6,2.65
35.36,60.43,3.89,38.1,2.32,89,36.6,2.42,12,36,48,2.7
36.45,56.75,4.02,39.4,2.46,93,36.9,2.42,11.8,42,48.3,2.75
36.72,56.81,3.92,39.8,2.51,94,37,2.53,11.7,48,48.5,2.78
36.37,56.48,4.16,39.3,2.42,92,36.7,2.74,12,54,48.2,2.73
34.9,61.47,4.45,37.4,2.33,89,36.5,2.71,12.1,60,47.8,2.68
34,64.92,4.27,36.3,2.31,89,36.6,2.47,11.7,66,47.4,2.63
32.92,72.09,5.07,34.9,2.23,86,36.6,2.31,11.5,72,46.9,2.58
31.42,81.34,6.42,32.8,2.02,78,36.2,2.33,11.7,78,46.4,2.53
30.31,82.88,7.68,31.1,1.77,65,35.5,2.43,12.2,84,45.9,2.48
29.68,83.75,8.49,30.1,1.4,45,35.1,2.49,13.5,90,45.5,2.43
28.98,87.71,9.04,29.2,1.28,39,34.8,2.47,13.7,96,45.1,2.38
28.6,88.17,9.91,28.6,1.21,36,34.6,2.47,13.8,102,44.8,2.35
28.31,89.53,10,28.2,1.16,33,34.5,2.38,13.8,0,44.5,2.32
28.04,88.43,9.82,27.8,0.99,26,34,2.48,14.2,6,44.2,2.29
27.55,90.46,10.21,27.1,0.92,23,33.8,2.5,14.3,12,43.9,2.26
27.38,90.26,10.35,26.9,0.8,18,33.5,2.52,14.6,18,43.7,2.24
